j,H2,O2,N2,T,mu
0,0.191433,0.525123,0.283444,2275.64,6.25912e-05
1,0.0313598,0.418691,0.54995,2680.61,8.34752e-05
2,0.349725,0.0823577,0.567917,2182.19,4.98062e-05
3,0.35562,0.320062,0.324318,301.745,1.31992e-05
4,0.0954525,0.534675,0.369873,477.718,2.41806e-05
5,0.442256,0.0519626,0.505781,719.624,2.17326e-05
6,0.7199,0.175616,0.104483,2924.55,4.7027e-05
7,0.439762,0.527669,0.0325691,1159.27,3.10434e-05
8,0.304698,0.351963,0.343339,2905.32,6.44139e-05
9,0.293333,0.151244,0.555423,2654.67,6.02826e-05
10,0.277783,0.189004,0.533213,1978.55,5.0293e-05
11,0.287944,0.378767,0.333289,264.838,1.29116e-05
12,0.274147,0.340783,0.38507,312.733,1.46022e-05
13,0.664179,0.240549,0.0952723,1032.22,2.41728e-05
14,0.360734,0.22251,0.416756,1814.08,4.39743e-05
15,0.442372,0.318245,0.239383,2478.26,5.10401e-05
16,0.313089,0.287145,0.399766,2005.72,4.94315e-05
17,0.597727,0.0564797,0.345794,2051.16,3.95652e-05
18,0.583429,0.208028,0.208543,284.859,1.06463e-05
19,0.311784,0.138171,0.550045,556.066,2.04841e-05
20,0.18128,0.740075,0.0786449,1024.42,3.75656e-05
21,0.379232,0.280273,0.340495,2411.1,5.26808e-05
22,0.0173344,0.191516,0.791149,1122.61,4.49858e-05
23,0.452968,0.333378,0.213654,2266.73,4.76979e-05
24,0.723002,0.0361222,0.240876,1229.33,2.60258e-05
25,0.352,0.397616,0.250384,2106.26,4.96901e-05
26,0.367306,0.29754,0.335154,563.975,1.99259e-05
27,0.201647,0.433945,0.364407,1689.97,5.00678e-05
28,0.203263,0.245342,0.551395,2762.94,6.862e-05
29,0.151904,0.294021,0.554075,968.585,3.57571e-05
30,0.580676,0.364105,0.0552193,2281.45,4.37498e-05
31,0.559436,0.00565229,0.434912,2607.1,4.75404e-05
32,0.0233446,0.385942,0.590714,1413.98,5.3882e-05
33,0.344151,0.261549,0.3943,1084.48,3.15873e-05
34,0.195416,0.203566,0.601018,2469.52,6.38745e-05
35,0.41699,0.156574,0.426436,1107.48,2.98825e-05
36,0.338132,0.282746,0.379122,633.475,2.20958e-05
37,0.254673,0.474074,0.271253,468.673,1.98283e-05
38,0.460231,0.456215,0.0835536,2179.61,4.65655e-05
39,0.000767696,0.732787,0.266445,2581.02,8.68531e-05
40,0.224393,0.246248,0.529359,436.313,1.90938e-05
41,0.270005,0.535536,0.194459,2680.05,6.415e-05
42,0.438465,0.442717,0.118818,727.485,2.2547e-05
43,0.518879,0.119673,0.361448,428.918,1.45601e-05
44,0.475529,0.499279,0.0251923,1710.47,3.91738e-05
45,0.718953,0.00166339,0.279383,931.677,2.1608e-05
46,0.459627,0.0768905,0.463483,614.566,1.93119e-05
47,0.438448,0.50765,0.0539013,1873.82,4.29349e-05
48,0.288909,0.176333,0.534758,2216.37,5.36726e-05
49,0.053273,0.433817,0.51291,1143.45,4.55607e-05
50,0.387506,0.313635,0.298859,1049.89,2.98642e-05
51,0.0719894,0.273259,0.654752,2517.63,7.52327e-05
52,0.341187,0.318234,0.340579,520.375,1.93378e-05
53,0.0528213,0.802349,0.14483,2033.84,7.09943e-05
54,0.103703,0.669463,0.226834,567.576,2.73732e-05
55,0.622817,0.0629131,0.31427,1730.83,3.47533e-05
56,0.276618,0.434455,0.288927,1650.44,4.54428e-05
57,0.473823,0.164246,0.36193,1122.72,2.88762e-05
58,0.325544,0.123081,0.551375,528.677,1.95255e-05
