i,H2,O2,N2,T,mu,muNN,rel_error
0,0.270671,0.335907,0.393422,2611.95,6.1932e-05,6.01157e-05,0.0293267
1,0.672541,0.222292,0.105167,764.774,1.964e-05,1.95198e-05,0.0061231
2,0.545052,0.373366,0.0815822,1668.12,3.63124e-05,3.56233e-05,0.0189758
3,0.370862,0.515176,0.113963,2442.25,5.44717e-05,5.29202e-05,0.0284826
4,0.0211957,0.479293,0.499512,2652.13,8.42786e-05,8.22965e-05,0.0235192
5,0.26913,0.413918,0.316952,750.385,2.6761e-05,2.69735e-05,0.00794171
6,0.410189,0.397648,0.192163,1184.03,3.19737e-05,3.19093e-05,0.00201624
7,0.343424,0.308607,0.347969,290.215,1.29818e-05,1.31291e-05,0.0113468
8,0.277131,0.260154,0.462715,2076.52,5.23141e-05,5.103e-05,0.0245463
9,0.0538023,0.161953,0.784245,2312.72,7.14069e-05,6.98373e-05,0.0219817
10,0.0791091,0.237616,0.683275,1475.43,5.15171e-05,5.12747e-05,0.00470648
11,0.077139,0.382432,0.540429,827.226,3.53253e-05,3.58761e-05,0.015593
12,0.686757,0.0588091,0.254434,494.207,1.43974e-05,1.44262e-05,0.00199729
13,0.556577,0.0266275,0.416796,932.889,2.3846e-05,2.37463e-05,0.0041814
14,0.419236,0.29662,0.284144,2211.53,4.80845e-05,4.68342e-05,0.0260034
15,0.655468,0.299059,0.0454729,1074.41,2.50407e-05,2.47558e-05,0.0113782
16,0.333282,0.396575,0.270144,2353.04,5.45032e-05,5.29871e-05,0.0278178
17,0.214718,0.140362,0.64492,778.993,2.83419e-05,2.85456e-05,0.00718957
18,0.119855,0.549804,0.330342,349.659,1.90151e-05,1.89764e-05,0.00203257
19,0.348027,0.407586,0.244387,754.368,2.4889e-05,2.50978e-05,0.0083882
20,0.535911,0.126436,0.337653,1848.92,3.85877e-05,3.78083e-05,0.0201987
21,0.490475,0.39598,0.113545,1927.36,4.17006e-05,4.07708e-05,0.0222975
22,0.295994,0.325808,0.378198,237.802,1.1858e-05,1.20022e-05,0.012157
23,0.281875,0.314532,0.403593,2262.48,5.5438e-05,5.39358e-05,0.0270974
24,0.229387,0.764169,0.00644327,2153.38,5.90111e-05,5.77828e-05,0.0208146
