j,H2,O2,N2,T,mu
0,0.328977,0.354237,0.316786,2219.32,5.11528e-06
1,0.415308,0.312857,0.271836,1293.78,3.33282e-06
2,0.807203,0.0449216,0.147875,664.43,1.64998e-06
3,0.408271,0.446834,0.144895,1279.2,3.3609e-06
4,0.627607,0.0867675,0.285625,875.106,2.18582e-06
5,0.492714,0.0625698,0.444716,792.496,2.24123e-06
6,0.0780253,0.779327,0.142648,1682.82,5.99939e-06
7,0.318845,0.27582,0.405336,1539.96,4.0584e-06
8,0.149431,0.504735,0.345834,640.822,2.8138e-06
9,0.404102,0.399384,0.196514,1407.35,3.57529e-06
10,0.2736,0.484854,0.241546,2756.3,6.28434e-06
11,0.379956,0.222034,0.39801,2695.07,5.47189e-06
12,0.758182,0.139404,0.102414,2990.31,4.49014e-06
13,0.36132,0.131393,0.507287,588.813,2.05884e-06
14,0.760152,0.161616,0.0782318,851.578,1.99813e-06
15,0.257396,0.326985,0.415619,2280.44,5.5837e-06
16,0.526965,0.122797,0.350238,1133.78,2.77061e-06
17,0.260958,0.362812,0.37623,205.741,1.11307e-06
18,0.135392,0.1283,0.736308,1942.39,5.673e-06
19,0.45938,0.236694,0.303926,784.754,2.31033e-06
20,0.301363,0.113192,0.585445,882.501,2.83811e-06
21,0.999067,0.000217478,0.000715906,349.568,9.9433e-07
22,0.492333,0.24525,0.262417,794.341,2.272e-06
23,0.00728974,0.693211,0.2995,900.358,4.25962e-06
24,0.109727,0.207434,0.682839,1181.66,4.28168e-06
25,0.426241,0.186382,0.387376,317.732,1.29261e-06
26,0.580176,0.0978191,0.322005,831.929,2.18146e-06
27,0.67618,0.256217,0.067603,1649.05,3.2278e-06
28,0.364408,0.591011,0.0445808,1431.66,3.80134e-06
29,0.265261,0.42047,0.314269,536.372,2.17075e-06
30,0.881893,0.027519,0.0905884,343.157,1.03259e-06
31,0.387309,0.404331,0.208361,2512.13,5.26814e-06
32,0.190203,0.481481,0.328316,2895.62,7.12142e-06
33,0.515667,0.11285,0.371484,709.303,2.05641e-06
34,0.146813,0.198793,0.654394,1322.11,4.40154e-06
35,0.783146,0.0505269,0.166327,785.119,1.86231e-06
36,0.982258,0.00413399,0.0136084,318.225,9.41343e-07
37,0.155706,0.344242,0.500052,825.36,3.25012e-06
38,0.00240323,0.23244,0.765157,1486.52,5.55227e-06
39,0.562145,0.0978838,0.339972,1516.32,3.25739e-06
40,0.245695,0.336146,0.418159,2326.71,5.73227e-06
41,0.214843,0.453791,0.331366,1534.28,4.59062e-06
42,0.466365,0.185509,0.348126,1948.93,4.127e-06
43,0.276281,0.168626,0.555092,1216.69,3.60333e-06
44,0.567581,0.100754,0.331665,802.871,2.14973e-06
45,0.10742,0.318075,0.574505,2544.88,7.12448e-06
46,0.00548499,0.0327256,0.961789,2325.01,7.18626e-06
47,0.666211,0.0777729,0.256016,617.669,1.70028e-06
48,0.156371,0.484136,0.359493,1368.46,4.58593e-06
49,0.437125,0.13115,0.431725,1100.89,2.91084e-06
50,0.395974,0.51297,0.0910552,1666.25,4.0488e-06
51,0.644229,0.0237806,0.33199,1412.53,2.93953e-06
52,0.370528,0.425952,0.20352,2236.89,4.97277e-06
53,0.78952,0.0490419,0.161438,431.535,1.25512e-06
54,0.617017,0.229624,0.153358,2530.31,4.40135e-06
55,0.0198483,0.611996,0.368156,508.749,2.82773e-06
56,0.794735,0.0478269,0.157439,454.898,1.29595e-06
57,0.367605,0.408715,0.22368,1307.49,3.52435e-06
58,0.765466,0.232193,0.00234035,1704.69,3.13184e-06
59,0.268027,0.589079,0.142894,2223.28,5.55942e-06
60,0.708652,0.067884,0.223464,654.789,1.72325e-06
61,0.099043,0.209923,0.691034,1406.97,4.85761e-06
62,0.235301,0.339032,0.425667,2838.43,6.58706e-06
63,0.290923,0.343377,0.3657,2414.19,5.60098e-06
64,0.388996,0.142364,0.46864,1244.33,3.28274e-06
65,0.361082,0.148868,0.49005,1170.87,3.23593e-06
66,0.0779602,0.214835,0.707205,1217.5,4.53687e-06
67,0.504697,0.408436,0.0868671,2029.49,4.17494e-06
68,0.184157,0.190091,0.625752,1238.31,4.03504e-06
69,0.585658,0.401976,0.0123657,667.716,1.91668e-06
70,0.73185,0.00959916,0.258551,2542.25,4.07607e-06
71,0.347403,0.348643,0.303954,2237.03,5.05004e-06
72,0.361147,0.32019,0.318663,2140.61,4.83653e-06
73,0.216626,0.105205,0.678169,440.929,1.94561e-06
74,0.0276801,0.482425,0.489895,264.324,1.71758e-06
75,0.0746915,0.455108,0.470201,2571.35,7.58792e-06
76,0.335555,0.294709,0.369737,504.002,1.92305e-06
77,0.748159,0.0586789,0.193162,657.842,1.69093e-06
78,0.254022,0.590441,0.155537,2718.21,6.42221e-06
79,0.368939,0.147037,0.484024,1198.25,3.26136e-06
80,0.0944381,0.466107,0.439455,1745.4,5.78525e-06
81,0.482983,0.212017,0.305,230.963,9.97298e-07
82,0.0714262,0.578378,0.350196,2809.1,8.18799e-06
83,0.419516,0.18346,0.397024,210.815,9.78348e-07
84,0.252021,0.56174,0.186239,1942.33,5.17517e-06
85,0.102158,0.455802,0.44204,2693.92,7.55745e-06
86,0.350887,0.346073,0.303041,763.122,2.5075e-06
87,0.995227,0.00111204,0.00366067,329.313,9.57696e-07
88,0.645737,0.0512715,0.302992,1228.87,2.68841e-06
89,0.670329,0.0768134,0.252858,786.671,1.9864e-06
90,0.439131,0.289689,0.27118,2577.88,5.08299e-06
91,0.293594,0.639437,0.0669683,1985.56,5.05354e-06
92,0.250237,0.174695,0.575068,1057.69,3.38157e-06
93,0.359061,0.149339,0.4916,1208.24,3.3086e-06
94,0.282263,0.290126,0.42761,970.508,3.12382e-06
95,0.10392,0.208787,0.687293,1213.07,4.38637e-06
96,0.254031,0.372452,0.373517,207.063,1.12648e-06
97,0.192778,0.749627,0.0575953,793.94,3.1572e-06
98,0.616081,0.0160957,0.367824,855.007,2.15982e-06
99,0.116094,0.748557,0.135349,2007.52,6.36507e-06
100,0.101347,0.38334,0.515313,633.318,2.92103e-06
101,0.663529,0.0876763,0.248795,2788.5,4.51577e-06
102,0.288133,0.45267,0.259198,2810.8,6.2502e-06
103,0.0677768,0.466584,0.465639,227.093,1.47527e-06
104,0.407745,0.398122,0.194132,2272.52,4.85031e-06
105,0.27928,0.358593,0.362127,2730.27,6.14137e-06
106,0.734992,0.151822,0.113186,2328.86,3.87503e-06
107,0.425645,0.387275,0.187079,1480.39,3.62352e-06
108,0.563462,0.270188,0.166349,2365.44,4.37761e-06
109,0.566454,0.147569,0.285978,2321.21,4.28389e-06
110,0.36738,0.523087,0.109533,2450.25,5.32693e-06
111,0.423299,0.449846,0.126855,2804.74,5.49855e-06
112,0.173992,0.342506,0.483502,2251.07,6.09205e-06
113,0.162554,0.493995,0.343451,1685.98,5.21218e-06
114,0.538794,0.107461,0.353745,1007.52,2.54266e-06
115,0.380324,0.276164,0.343512,982.044,2.86472e-06
116,0.305561,0.177823,0.516617,2523.58,5.60112e-06
117,0.846331,0.0358049,0.117864,658.696,1.6091e-06
118,0.0201032,0.228316,0.751581,1311.78,5.06078e-06
119,0.349281,0.177147,0.473573,517.623,1.91621e-06
120,0.665339,0.077976,0.256685,915.231,2.19852e-06
121,0.025294,0.227106,0.7476,1615.79,5.76491e-06
122,0.686854,0.072963,0.240183,578.084,1.60833e-06
123,0.18577,0.410803,0.403427,1580.49,4.82028e-06
124,0.832739,0.131537,0.0357242,2481.76,3.83312e-06
125,0.347304,0.152078,0.500618,1030.65,3.01681e-06
126,0.567998,0.17516,0.256843,1144.93,2.71882e-06
127,0.254919,0.502767,0.242315,426.376,1.89126e-06
